"","year","area","street_1","street_2"
"1",2011,"Birmingham","Acocks  Green","Acocks Green"
"2",2011,"Birmingham","Adderly  str.","Adderly str."
"3",2011,"Birmingham","Alcester  Raod,  Mosley","Alcester Raod, Mosley"
"4",2011,"Birmingham","alcester  road","alcester road"
"5",2011,"Birmingham","alcester  road  moseley","alcester road moseley"
"6",2011,"Birmingham","Alcester  Road  Moseley","Alcester Road Moseley"
"7",2011,"Birmingham","Alfred  str.","Alfred str."
"8",2011,"Birmingham","All  service  club,  Mosley","All service club, Mosley"
"9",2011,"Birmingham","Alum  Rock  Road","Alum Rock Road"
"10",2011,"Birmingham","Alum  Rock  Road",""
"11",2011,"Birmingham","Alum  Rock  Road",""
"12",2011,"Birmingham","Alum  Rock  Road",""
"13",2011,"Birmingham","arcadian  centre","arcadian centre"
"14",2011,"Birmingham","Arden  Road,  Saltley","Arden Road, Saltley"
"15",2011,"Birmingham","Asda,  Chemsley  Wood","Asda, Chemsley Wood"
"16",2011,"Birmingham","Balsahll  Heath  Park,  J/W  Brighton  road","Balsahll Heath Park, J/W Brighton road"
"17",2011,"Birmingham","Bamford  Road","Bamford Road"
"18",2011,"Birmingham","Bamford  Road",""
"19",2011,"Birmingham","BeechBrook  ave.  Sparkhill","BeechBrook ave. Sparkhill"
"20",2011,"Birmingham","Belchers  Lane","Belchers Lane"
"21",2011,"Birmingham","Belchers  Lane",""
"22",2011,"Birmingham","Belchers  Lane",""
"23",2011,"Birmingham","Belchers  Lane,  Bordesley  Green","Belchers Lane, Bordesley Green"
"24",2011,"Birmingham","Bell  str.","Bell str."
"25",2011,"Birmingham","Berkley  Rd  East  ,    Haymills.","Berkley Rd East ,  Haymills."
"26",2011,"Birmingham","birmingham  airport","birmingham airport"
"27",2011,"Birmingham","Birmingham  International  railway  station","Birmingham International railway station"
"28",2011,"Birmingham","Bordesley  Green","Bordesley Green"
"29",2011,"Birmingham","Bordesley  Green  ,    Bordesley  Green.","Bordesley Green ,  Bordesley Green."
"30",2011,"Birmingham","Bristol  Road","Bristol Road"
"31",2011,"Birmingham","Bristol  str.","Bristol str."
"32",2011,"Birmingham","Broad  str.","Broad str."
"33",2011,"Birmingham","Broad  str.",""
"34",2011,"Birmingham","Broad  str.  Birmingham","Broad str. Birmingham"
"35",2011,"Birmingham","Buckland  End  Lane  Shard  End","Buckland End Lane Shard End"
"36",2011,"Birmingham","Bulls  Head  PH,  St  Marys  Row","Bulls Head PH, St Marys Row"
"37",2011,"Birmingham","Bushbury  Road,  Kitts  Green","Bushbury Road, Kitts Green"
"38",2011,"Birmingham","Chartice  Road","Chartice Road"
"39",2011,"Birmingham","Chestnut  Road","Chestnut Road"
"40",2011,"Birmingham","church  rd,  stechford","church rd, stechford"
"41",2011,"Birmingham","Church  Road,  Sheldon","Church Road, Sheldon"
"42",2011,"Birmingham","Clifford  RD  Dorridge.","Clifford RD Dorridge."
"43",2011,"Birmingham","Clock  Lane","Clock Lane"
"44",2011,"Birmingham","Colonial  road,  Bordesley  Green`","Colonial road, Bordesley Green`"
"45",2011,"Birmingham","Corporation  St,Birmingham","Corporation St,Birmingham"
"46",2011,"Birmingham","Corporation  str.","Corporation str."
"47",2011,"Birmingham","Coventry  rd  Small  heath","Coventry rd Small heath"
"48",2011,"Birmingham","COVENTRY  RD,  SMALL  HEATH,  BHAM","COVENTRY RD, SMALL HEATH, BHAM"
"49",2011,"Birmingham","Coventry  Road","Coventry Road"
"50",2011,"Birmingham","Coventry  Road",""
"51",2011,"Birmingham","Coventry  Road",""
"52",2011,"Birmingham","Coventry  Road",""
"53",2011,"Birmingham","Coventry  Road",""
"54",2011,"Birmingham","Coventry  road,  Small  heath","Coventry road, Small heath"
"55",2011,"Birmingham","Coventry  Road,  Small  Heath","Coventry Road, Small Heath"
"56",2011,"Birmingham","coventry  road,small  heath","coventry road,small heath"
"57",2011,"Birmingham","Cranes  Park  Road","Cranes Park Road"
"58",2011,"Birmingham","Cranes  Park  Road  Sheldon","Cranes Park Road Sheldon"
"59",2011,"Birmingham","crossfield  road","crossfield road"
"60",2011,"Birmingham","Crossfields  Road  Kitts  Green","Crossfields Road Kitts Green"
"61",2011,"Birmingham","cxhurch  rd,  stechford,  bham","cxhurch rd, stechford, bham"
"62",2011,"Birmingham","Digbeth  high  str.","Digbeth high str."
"63",2011,"Birmingham","Edgbaston  road","Edgbaston road"
"64",2011,"Birmingham","Edward  Road.  Moseley","Edward Road. Moseley"
"65",2011,"Birmingham","Fighting  Cox  PH","Fighting Cox PH"
